iter	Logloss
0	0.687732439
1	0.6809687735
2	0.6747290893
3	0.6688353325
4	0.6626369783
5	0.6569125185
6	0.6512015129
7	0.6459087834
8	0.6403286466
9	0.635120445
10	0.6301414681
11	0.6253090247
12	0.6211276387
13	0.6164170177
14	0.6132523124
15	0.6086638743
16	0.6044012028
17	0.6002547394
18	0.5961938477
19	0.5921711128
20	0.5892754653
21	0.5866966459
22	0.5836362315
23	0.5807297925
24	0.5781367341
25	0.5747571282
26	0.5708999126
27	0.5675368632
28	0.5646192774
29	0.5620695269
30	0.5590694049
31	0.5560372435
32	0.5527484422
33	0.5505119556
34	0.5475754366
35	0.545559413
36	0.5434455733
37	0.5406167053
38	0.5380326094
39	0.535866341
40	0.5331916455
41	0.5310894923
42	0.5293932782
43	0.5270173738
44	0.524776586
45	0.5233835679
46	0.521233943
47	0.5194700119
48	0.5173924268
49	0.515755703
50	0.5140401434
51	0.5125827814
52	0.5107222357
53	0.509435021
54	0.5075651381
55	0.5063759053
56	0.5045206565
57	0.503034442
58	0.5012602277
59	0.4998563651
60	0.4984879214
61	0.4972109112
62	0.4957980238
63	0.4941908744
64	0.4930271635
65	0.4914010272
66	0.490246839
67	0.4889628135
68	0.4879586265
69	0.4864686941
70	0.4850600787
71	0.4840832072
72	0.4825656626
73	0.4814734903
74	0.4802789049
75	0.4788766944
76	0.477993781
77	0.4770949061
78	0.476245834
79	0.4753099387
80	0.4743338278
81	0.4735916943
82	0.4724496048
83	0.4711837556
84	0.4701836479
85	0.4693831956
86	0.4686817109
87	0.4677022626
88	0.4668735494
89	0.4660356022
90	0.4653243998
91	0.4643961638
92	0.4636946728
93	0.4630928291
94	0.4622753048
95	0.4615709049
96	0.4606858635
97	0.460286756
98	0.459611506
99	0.458739938
100	0.4582675243
101	0.4576727625
102	0.4568510202
103	0.4559763769
104	0.4554537749
105	0.4548393327
106	0.4541894392
107	0.4535065052
108	0.4530380649
109	0.4523078017
110	0.4516348344
111	0.4508930237
112	0.4504510056
113	0.4496568651
114	0.4489923861
115	0.4484523424
116	0.4479036843
117	0.4474927997
118	0.4472213389
119	0.4466974854
120	0.4462082598
121	0.4457840353
122	0.4453925104
123	0.4448805285
124	0.4442179379
125	0.4435763249
126	0.4428863287
127	0.4423511343
128	0.4419632225
129	0.4416025943
130	0.4412507983
131	0.4408003597
132	0.4402891089
133	0.4398233752
134	0.4394888807
135	0.4389786344
136	0.4385527256
137	0.4380069048
138	0.4376384896
139	0.4371344171
140	0.4366357024
141	0.4362448848
142	0.4359326372
143	0.4356137468
144	0.4353130077
145	0.4347645556
146	0.4343643757
147	0.4340751978
148	0.4337006469
149	0.4333796853
150	0.4332013296
151	0.4327951219
152	0.432545689
153	0.4321935353
154	0.4317310809
155	0.4312685885
156	0.4309731841
157	0.430601342
158	0.4302214774
159	0.4298524191
160	0.4294298221
161	0.4292070806
162	0.4289367504
